Apartment,sqft_Floor_Area,Bedrooms,Attached_Bathrooms,Balcony,Pantry_and_Kitechen,Living_area_Launch,Made_s_room,Washing_Room,Store_Room,A_C,TwentyFour_hours_Security,Swimming_pool,Gym,Roof_Terrace,Location,Car_parkings,price_Million
2 Bedroom Apartment for Sale in One Galle Face...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.17857143
Luxury Apartment For Sale in Colombo 1,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.17857143
Two bedrooms apartment for sale in Shangri-la...,1200,2,1,3,1,2,1,1,1,Yes,Yes,Yes,No,Yes,Wellawatta,3,25.17857143
55 Million value Apartment selling for 50 Million...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.64285714
Beira / Ocean View Luxury Apartment at Capitol...,1152,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.64285714
"Altair, 03 Bedroom Unfurnished Appartment for...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.64285714
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.64285714
Shangri La Apartment 2 Bedroom Furnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.64285714
"Penthouses in Colombo for sale Shangri-La, CCC,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.64285714
CINNAMON LIFE Three Bedroom Apartment for sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.42857143
OnThree20 - 04 Bedroom Apartment for Sa...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.21428571
55 Million value Apartment selling for 50 Million...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
Best Price | 2 bedroom large layout | furnished...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
3bed with 2 car parks at On320,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
"On320, 02 Bedroom Fully Furnished Apartment For...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
OnThree20 03 Bedroom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
Apartment for Sale - The Residences at One Galle...,1140,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
Shangri La Apartment 2 Bedroom Furnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
2 Bedroom Apartment for Sale in One Galle Face...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
Luxury Apartment For Sale In One Galle Face -...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,24.10714286
Best Price | 2 bedroom large layout | furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
"On320, 02 Bedroom Fully Furnished Apartment For...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
Move into one of the finest units at Shangri-La...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,1100,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
SHANGRI-LA Two Bedroom Apartment For Sale,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
"447 Luna Tower - Union Place, Colombo 02 - Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
Colombo.02 Shangri La 02 Bedroom Apartment For...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.57142857
Cinnamon Life 2 Bedroom Luxuriously Furnished...,950,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.35714286
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.14285714
3bed with 2 car parks at On320,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.03571429
Beira / Ocean View Luxury Apartment at Capitol...,1095,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.03571429
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,23.03571429
Move into one of the finest units at Shangri-La...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,22.5
CINNAMON LIFE Three Bedroom Apartment for sale...,958,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,22.5
"447 Luna Tower - Union Place, Colombo 02 | Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,22.5
Altair 4 Bedroom Luxurious Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,22.5
Apartment for Sale - The Residences at One Galle...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.96428571
Shangri La Apartment 2 Bedroom Furnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.96428571
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.96428571
Move into one of the finest units at Shangri-La...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.96428571
"Penthouses in Colombo for sale Shangri-La, CCC,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.96428571
Colombo.02 Shangri La 02 Bedroom Apartment For...,600,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Altair 4 Bedroom Luxurious Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
2BR Quality Modern Luxury Living at the Heart...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Colombo 1 One Galle Face 4BR Apartment F...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Altair 4 Bedroom Luxurious Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Best Price | 2 bedroom large layout | furnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Furnished Brand New - 3 Bedrooms At Altair,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
447 Luna Tower - Type D (3 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
"Altair, 03 Bedroom Unfurnished Appartment for...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
The One Gall face residence (Shangri-La) For Sale...,1000,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Move into one of the finest units at Shangri-La...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Luxury Apartment For Sale in Colombo 1,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
OnThree20 - 04 Bedroom Apartment for Sa...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.42857143
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.32142857
Luxury 4 Bedroom apartment for sale in Colombo...,1100,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.32142857
OnThree20 03 Bedroom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,21.21428571
"Penthouses in Colombo for sale Shangri-La, CCC,...",840,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.89285714
"4 Bedroom Penthouses in Shangri-La, Cinnamon Life,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.89285714
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.89285714
SHANGRI-LA Two Bedroom Apartment For Sale,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.89285714
"447 Luna Tower - Union Place, Colombo 02 - Type...",700,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.89285714
Best Price | 2 bedroom large layout | furnished...,910,2,1,2,1,1,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.78571429
"On320, 02 Bedroom Fully Furnished Apartment For...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
OnThree20 03 BedRoom Furnished Apartment for Sale...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
"Penthouses in Colombo for sale Shangri-La, CCC,...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
Luxury Apartment For Sale In One Galle Face -...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
SHANGRI-LA Two Bedroom Apartment For Sale,1135,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
Two bedrooms apartment for sale in Shangri-la...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
"447 Luna Tower - Union Place, Colombo 02 - Type...",1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
447 Luna Tower - Type D (3 bedrooms),1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
On320 2 Bedroom Furnished Apartment for ...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.35714286
Luxury 4 Bedroom apartment for sale in Colombo...,1200,2,1,3,1,2,1,1,1,Yes,Yes,No,No,Yes,Wellawatta,3,20.14285714
Apartment for sale in Shangrila / 4 Bed / Unfurnished...,1400,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,27
Apartment for Sale in Shangri-la Residence / One...,1245,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,26.89285714
3bed with 2 car parks at On320,1400,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,27
SHANGRI LA ABOVE 40TH FLOOR LUXURY APARTMENT FOR...,1350,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,26.78571429
Two bedrooms apartment for sale in Shangri-la...,1250,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,26.78571429
Twin Peaks 2 Bedrooms apartment for sale in Colombo...,1354,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,26.78571429
OnThree20 03 Bedroom Furnished Apartment for Sale...,1320,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,26.67857143
Altair 4 Bedroom Luxurious Apartment for Sale...,1243,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.82142857
Cinnamon Life 2 Bedroom Luxuriously Furnished...,1300,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.82142857
1838 sqf Luxury 3 Bed Apartment for Sale ALTAIR...,1362,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.71428571
OnThree20 03 Bedroom Furnished Apartment for Sale...,1350,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.71428571
Apartment for Sale - The Residences at One Galle...,1400,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.71428571
1 Bedroom Apartment For Sale In Colombo 2 For...,1350,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.71428571
Best Price | 2 bedroom large layout | furnished...,1350,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.71428571
Move into one of the finest units at Shangri-La...,1350,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.17857143
CINNAMON LIFE Three Bedroom Apartment for sale...,1350,3,2,3,1,2,1,2,1,Yes,Yes,Yes,No,Yes,Athurugirya,3,25.17857143
Move into one of the finest units at Shangri-La...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.64285714
Shangri-la Apartment for Sale,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.64285714
1 Bedroom Apartment For Sale In Colombo 2 For...,1320,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.21428571
On320 2 Bedroom Furnished Apartment for ...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.10714286
Capitol Twin Peaks | 3 bedroom converted 2 bedroom...,1380,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.10714286
OnThree20 03 BedRoom Furnished Apartment for Sale...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.10714286
Shangri-la / Cinnamon Life / CCC / ALTAIR Apartments...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.10714286
Apartment for Sale in Shangri-la Residence / One...,1314,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,24.10714286
Colombo.02 Shangri La 02 Bedroom Apartment For...,1236,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,23.89285714
"Altair, 03 Bedroom Unfurnished Appartment for...",1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,23.57142857
"Shangril-La, 02 Bedroom Unfurnished Apartment...",1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,23.57142857
447 Luna Tower 02 Bedroom Unfurnished Apartment...,1350,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,23.57142857
55 Million value Apartment selling for 50 Million...,1400,3,2,3,1,2,1,2,1,Yes,Yes,No,No,Yes,Athurugirya,3,23.35714286
